ID,Band Name,Genre,Year Formed,Founded In,Country,N° of Albums,N° of Singles,Newest Album,Year,N°1 Most Popular Album,2° Most Popular Album,3° Most Popular Album,Top Song,2° Top Song,3° Top Song,4° Top Song,5° Top Song,Spotify Listeners,In tour?,When?,Where?
1,Abichova,Melodic Death Metal,2005,"Lucerne, CH",Switzerland,3,4,Weltenwanderer,2018,Wegweiser,Weltenwanderer,Versteckte Pfade,Handgeschrieben,Vom grünen grund,Weltenwanderer,Lichtfänger,Felsenfrass,418,No,0,
2,Adorned Brood,Folk Metal,1993,"Grevenbroich, DE",Germany,8,1,Kuningaz,2012,Kuningaz,Hammerefeste,Noor,Munin,Kuningaz,Hugin,Victory or Valhall,Men!,5107,No,0,
3,Alestorm,Folk/Power Metal,2007,"Perth, UK",United Kingdom,7,15,Seventh Rum of a Seventh Rum,2022,Seventh Rum of a Seventh Rum,Curse of the Crystal Coconut,No Grave but the Sea,Drink,Fucked with an Anchor,Keelhauled,The Sunking Norwegian,Shipwrecked,844394,Yes,2022,SA/AU
4,Altars of Grief,Black/Funeral Doom Metal,2013,"Regina, CA",Canada,3,1,This Shameful Burden,2018,Iris,Of Ash and Dying Light...,This Shameful Burden,Isolation,Desolation,Child of Light,Iris,Room of Angel,873,Yes,2022,EU/US
5,Alter Bridge,Hard Rock/ Heavy Metal/Alternative Metal,2004,"Orlando, US",United States,7,23,Walk the Sky 2.0,2020,One Day Remains,Blackbird,Fortress,Metalingus,Watch Over You,Silver Tongue,Oper Your Eyes,In Loving Memory,2053434,Yes,2022/2023,EU/US
6,Amon Amarth,Melodic Death Metal,1992,"Stockholm, SE",Sweden,12,11,The Great Heathen Army,2022,Twilight Of The Thunder God,Surtur Rising,Jomsviking,Twilight Of The Thunder God,Guardians Of Asgaard,Put Your Back Ito The Oar,The Pursuit Of VIkings,Raise Your Horns,1464224,Yes,2022,EU/US
7,Amon Amarth,Melodic Death Metal,1992,"Stockholm, SE",Sweden,12,11,The Great Heathen Army,2022,Twilight Of The Thunder God,Surtur Rising,Jomsviking,Twilight Of The Thunder God,Guardians Of Asgaard,Put Your Back Ito The Oar,The Pursuit Of VIkings,Raise Your Horns,1464224,Yes,2022,EU/US
8,Ancient Bards,Symphonic Power Metal,2006,"Rimini, IT",Italy,4,5,Origine - The Black Crystal Sword Saga Part 2,2019,Origine - The Black Crystal Sword Saga Part 2,Soulless Child,The Alliance of the Kings - The Black Crystal Sword Saga Pt.1,Trough My Veins,Across This Life,Light,Impious Dystopia,In My Arms,51375,No,0,
9,Asenblut,Black/Thrash/Pagan Metal,2006,"Göttingen, DE",Germany,4,0,Die wilde Jagd,2020,Die wilde Jagd,Berserker,Legenden,Berserkerzorn,Seite an Seite,Asenblut,Die wilde Jagd,Gor or Man,15401,Yes,2022/20223,EU
10,Battle Beast,Heavy/Power Metal,2005,"Helsinki, FL",Finland,6,6,Circus of Doom,2022,Steel, Battle Beast,Unholy Savior,King for a Day,Eden,Straight to the Heart,No More Hollywood Endings,Master of Illusion,758216,Yes,2022,EU/US
11,Battlelore,Epic Symphonic Metal,1999,"Lappeenranta, FI",Finland,7,0,The Return of the Shadow,2022,The Return of the Shadow,Swors Song,The Last Alliance,Sons of Riddermark,Chambers of FIre,Third Immortal,The War of Wrath,Firekeeper,26061,No,0,
12,Bifröst,Pagan/Folk Metal,2005,"Salzburg, AT",Austria,4,0,Mana Ewah,2016,Tor in eine neue Welt,Heidenmetal,Mana Ewah,Wer mit dir steht,Blutrote Nacht,Runde um Runde,Am Pfahle,Rangarök,3015,No,0,
13,Black Messiah,Symphonic Black/Folk/Viking Metal,1992,"Gelsenkirchen, DE",Germany,7,0,Walls of Vanaheim,2017,Walls of Vanaheim,Of Myths and Legends,First War of the World,Sauflied,Soeldnerschwein,Loki Tanz,Die Bürde Des Njörd,Satisfation and Revenge,35610,No,0,
14,Blind Guardian,Power Metal,1984,"Krefeld, DE",Germany,18,0,The God Machine,2022,Nightfall in Middle Earth,Somewhere Far Behind,Memories of a Time to Come,The Bards Song,Valhalla,Mirror Mirror,Twilight of the Gods,Nightfall,825186,Yes,2022,EU
15,Bloodbound,Heavy/Power Metal,2004,"Bollnäs, SE",Sweden,9,6,Creatures of the Dark Realm,2021,War of Dragons,Unholy Cross,Rise of the Dragon Empire,Rise of the Dragon Empire,Tears of a Dragonheart,Moria,Nosferatu,Buttle in the Sky,335970,Yes,2022/2023,EU
16,Brothers of Metal,Heavy/Power Metal,2012,"Malung, SE",Sweden,3,8,Emblas Saga,2020,Prophecy of Ragnarök,Emblas Saga,Fire Blood and Steel / Blood on Fire,Yggdrasil,Prophecy of Ragnarök,Fire Blood and Steel,Ride of the Valkyries,Son of Odin,750717,No,0,
17,Brymir,Symphonic/Melodic Death/Pagan Metal,2006,"Helsinki, FI",Finland,4,4,Voices in the Sky,2022,Breath Fire to the Sun,Wings of Fire,Voices in the Sky,Ragnarök,Wings of Fire,Herald of Aegir,Forged in War,Fly with Me,55083,Yes,2022,EU
18,Burzum,"Black Metal, Ambient",1991,"Bergen, NO ",Norway,13,3,Thulêan Mysteries,2020,The Ways of Yore,The Ways of Yore,Burzum,Dunkelheit,Jesus Tod,War,Erbicket Die Tochter Des Firmaments,Lost Wisdom,185876,No,0,
19,Cernunnos,Folk Metal,2012,"Buenos Aires, AR",Argentina,2,1,Capricornvs,2021,,,,Mabon,Dragonborn,The Svmmoner,Capricornvs,Scarborough Fair,490,No,0,
20,Civil War,Heavy/Power Metal,2012,"Falun, SE",Sweden,6,5,Invaders,2022,The Killer Angels,Rome Is Falling,The Last Full Measure,Rome Is Falling,I Will Rule the Universe,Bay of Pigs,Oblivion,Tombstone,109879,No,0,
21,Craving,Melodic Death/Black Metal with Celtic folk influences,2006,"Oldenburg, DE",Germany,3,2,By the Storm,2016,By the Storm,At Dawn,Craving,By Storm,Only Teardrops,Penelopes Prayer,Wielder of Storms,Wenn Der Wind Sich Dreht,5411,NO,0,
22,Cruachan,Celtic Folk/Black Metal,1993,"Dublin, IE",Ireland,8,3,Nine Years of Blood,2018,Folk-Lore,Blood for the Blood God,The Morrigans Call,Blood for the Blood God,Ride On,The Morrigans Call,The Marching Song of Fiach Mac Hugh,Some Say The Devil Is Dead,42462,No,0,
23,Dalriada,Folk Metal,2003,"Sopron, HU",Hungary,12,3,Öszelö,2021,Nyárutó,Napisten Hava,Ígéret,Nyárutó,Hajdútánc,Napisten Hava,Amit ad az ég,Megöltek egy legényt,22138,Yes,2022,EU
24,Danheim,Ambient Folk,2016,"Copenhagen, DK",Denmark,8,36,Domadagr,2021,Skapanir,Domadgr,Hringrás,Berserkir,Ivars Revenge,Hefna,Temple of Odin,Runar,488463,No,0,
25,Dark Tranquillity,Melodic Death Metal,1991,"Gothenburg, SE",Sweden,19,16,Moment,2020,Fiction,Atoma,Moment,Atoma,Miserys Crown,Forward Momentum,Lethe,Panthom Days,274088,Yes,2023,EU
26,Dead Crown,Black Metal/Ambient,2009,"Bayonne, FR",France,5,0,Tales from the Frozen Lands Part I & II,2021,Tales From The Frozen Lands Part I,Nature Is My Temple,Frozen Blood,The Raven King,Madre Del Trueno,Dawn Of The End,Nebula,Frozen Blood,216,No,0,
27,Def Leppard,Heavy Metal,1977,"Sheffield, UK",United Kingdom,20,30,Diamond Star Halos,2022,Hysteria,Pyromania,Retroactive,Pour Some Sugar On Me,Hysteria,Photograph,Rock Of Ages,Love Bites,6735092,Yes,2022,US
28,DevilDriver,Groove/Melodic Deat,2003,"Santa Barbara, US",United States,9,15,"	Dealing with Demons, Volume I",2020,Dealing With Demons I,"Outlaws Til The End, Vol. 1",Trust No One,Sail,Clouds Over Califronia,I Could Care Less,Endf Of The Line,Hold Back The Day,441239,Yes,2023,EU
29,Diamond Head,Heavy Metal/Hard Rock,1976,"Stourbridge, UK",United Kingdom,9,5,Lightning to the Nations,2020,Diamond Head,The Coffin Train,Lightning To The Nations,Am I Evil?,Am I Evil,Its Electric,Dead Reckoning,No Remorse,244064,Yes,2022,EU
30,Die Apokalyptischen Reiter,Death/Folk Metal,1995,"Apolda, DE",Germany,12,5,Wilde Kinder,2022,The Divine Horsemen,Der Rote Reiter,Wilde Kinder,Ghostriders in the Sky,Auf und nieder,Der Adler,Seemann,Freiheit Gleichheit Brüderlichkeit,358383,Yes,2022,EU
31,Dio,Heavy Metal,1982,"New York, US",United States,10,22,Master of the Moon,2004,Wings Of Steel,Business In Hell,The Hands of Fate,Rainbow In The Dark,Holy Diver,The Last In Line,Dont Talk To Strangers,We Rock,2980659,No,0,
32,DragonForce,Power Metal,1999,"London, UK",United Kingdom,8,0,Extreme Power Metal,2019,Killer Elite,Re-Powered WIthin,Inhuman Rampage,Through The Fire And Flames,Fury Of The Storm,Cry Thunder,Soldiers Of The Wastelands,Heroes Of Our Time,1822311,Yes,2022,EU
33,Dragonsifre,Melodic Heavy Metal,1999,"Tampere, FI",Germany,3,1,Speed Demon / Metal X,2015,Masters of the Underground,Speed Demon,Metal Service,Speed Demon,To Hell and Back,Drgansfire Rockxxx,Wings of Death,Morris Tunes,385,No,0,
34,Dreamtale,Melodic Power Metal,2012,", NJ",Finland,8,5,Everlasting Flame,2022,Seventhian... Memories of Time,World Changed Forever,Everlasting Flame,Angel Of Light,Greenback Hunter,Tides of War,Dreality,Take What the Heavens Cerate,51234,No,0,
35,Duskmourn,Melodic Death Metal,2012,"Jersey, US",United States,3,0,Fallen Kings and Rusted Crowns,2021,Fallen Kings and Rusted Crowns,Of Shadow and Flame,Legends,Fallen Kings And Rusted Crowns,Forged by Fire and Stone,Deathless,The Sleeping Tide,Blood of the Forest,7967,No,0,
36,Eluveitie,"Folk/Melodic Death Metal, Folk",2002,"Zürich, CH ",Switzerland,8,12,Ategnatos,2019,Origins,Evocation II - Pantheon,Slania,The Call of the Mountains,Inis Mona,Ambriramus,A Rose for Epona,Thousandfold,656177,Yes,2022,EU
37,Elvenking,Melodic Power/Folk Metal,1997,"Sacile, IT",Italy,10,8,Reader of the Runes - Divination,2019,The Winter Wake,Reader of the Runes - Divination,Heathenreel,Elvenlegions,Silverseal,Pagan Revolution,The Divided Heart,Black Roses for the Wicked One,239604,Yes,2022,EU
38,Ensiferum,Epic Folk Metal,1995,"Helsinki, FI",Finland,8,7,Thalassic,2020,Two Paths,Suomi Warmetal,Thalassic,In My Sword I Trust,One Man Army,Lai Lai Hei,Andromeda,Twilight Tavern,227913,Yes,2022,SA
39,Equilibrium,Epic Folk Metal,2001,"Starnberg, DE",Germany,6,6,Renegades,2019,Armageddon,Erdentempel,Renegades,Himmelsrand,Born to Be Epic,Revolution,Blut im Ague,Jhonny B,428171,No,0,
40,Falkenbach,Viking/Black/Folk Metal,1989,"Düsseldrof, DE",Germany,6,1,Asa,2013,...en their medh riki fara...,...magni blandinn ok megintíri...,Tiurida,Eweroun,... Where His Ravens Fly ...,Blout Fuër Bluot,When Gjallarhorn Will Sound,Vaer Stjernar Vaerdan,32329,No,0,
41,Far Beyond,Symphonic Melodic Death Metal,2001,"Nurenberg, DE",Germany,2,0,A Frozen Flame of Ice,2016,A Frozen Flame of Ice,An Angel's Requiem,,The Song Remains the Same,A Frozen Flame of Ice,"Evernight, Pt. I",Last Farewell,"Evernight, Pt. II",560,Yes,2022,EU
42,Feindnah,Historic Metal,0,",DE",Germany,2,0,Avantgarde,2021,Odyssee,Avantgarde,,Mann gegen Mann,Wie Brüder,Ahnenband,Avantgarde,Fahnenträger,4082,No,0,
43,Fejd,Folk Metal,2001,"Lilla Edet, SE",Sweden,4,2,Trolldom,2016,Storm,Eifur,	Trolldom,Härjaren,Offrrok,Den Skimrande,Yggdrasil,Dragen Och Krakan,16963,,0,
44,Finntroll,Blackened Folk Metal,1997,"Helsinki, FI",Finland,7,3,Vredesvävd,2020,Nifelvind,Blodsvept,Vredesvävd,Trollhammaren,Under Bergets Rot,Ca You Forgive Her?,Solsagan,Blodsvept,133062,Yes,2022,EU
45,Finterfrost,Folk/Viking Metal,2004,"Freiburg, DE",Germany,5,0,Zerfall,2019,Zerfall,Weltenkraft,Mach dich frei,Mach Dich Frei!,"Das Schlimmste Ist, Wenn Das Bier Alle Ist",Bottle Gods,Zerfall,Des Waldes Macht,29432,No,0,
46,Freedom Call,Power Metal,1998,"Nuremberg, DE",Germany,10,8,M.E.T.A.L,2019,Master of Lught,Legend of the Shadowking,Land of the Crimson Dawn,Metal Is for Everyone,Warriors,Hammer of the Gods,Land of Light,Freedom Call,165114,Yes,2022,EU
47,Furor Gallico,Folk Metal,2007,"Monza, IT",Italy,3,1,Dusk of the Ages,2019,Dusk of the Ages,Furor Gallico,Songs from the Earth,La caccia morta,Canto Di Inverno,Banshee,Crumisagios,Banshee,25180,Yes,2022,EU
48,Gallows End,Heavy Metal,2007,"Arvika, SE",Sweden,1,0,Nemesis Divine,2010,Nemesis Divine,,,Soul Collector,Kingdom of the Damned,Nemesis Divine (Trial of the Gods),The Curse,Set the World in Flames,769,No,0,
49,Garmarna,Folk Rock,1990,"Sundsvall, SE",Sweden,7,10,Förbundet,2020,Guds Spelemän,Förbundet,Vedergällnigen,Herr Mannelig,Sven i Rosengård,Nåden,Vänner och Fränder,Två Systrar,152942,Yes,2022,EU
50,Genus Ordinis Dei,Symphonic Deat Metal/Groove/Metalcore,2009,"Creama, IT",Italy,3,3,Glare of Deliverance,2020,Glare of Deliverance,Great Olden Dynasty,The Middle,Hail and Kill,Edict,The Entropic Queen,Salem,Examination,17263,No,0,
51,George Ezra,Folk Pop/Blues,2013,"London, UK",United Kingdom,3,17,Gold Rush Kid,2022,Wanted on Voyage,Gold Rush Kid,Staying at Tamara's,Budapest,Blame It on Me,Shotgun,Did You Hear The Tain?,Green Green Grass,15580412,Yes,2022,EU
52,Ghost,Heavy Metal/Rock,2006,"Linköping, SE",Sweden,5,16,Impera,2022,Meliora,Impera,Ceremony And Devotion,mary On A Cross,Call Me Little Sunshine,Kiss The Go-Goat,Spillways,Square Hammer,9142151,Yes,2022,
53,Gloryhammer,Symphonic Power Metal,2010,"Scotland, UK",United Kingdom,3,3,Legends from Beyond the Galactic Terrorvortex,2019,Space 1992: Rise of the Chaos Wizards,Legends from Beyond the Galactic Terrorvortex,Tales from the Kingdom of Fife,Angus Mcfife,Universe on Fire,Fly Away,Gloryhammer,Hootsforce,390141,Yes,2022,EU
54,Grave Digger,Heavy/Power Metal,1980,"Gladbeck, DE",Germany,21,14,Symbol of Eternity,2022,The Devil Is a Gambler,Fields of Blood,Symbol Of Eternity,Rebellion (The Clans are Marching),Zombie Dance,Heart Of A Warrior,Battle Cry,The Ballad of Mary,206325,Yes,2022/2023,EU
55,Great Vast Forest,Black Metal,1995,"Lages, BR",Brazil,2,0,From the Dark Times to the Black Metal Legions,2017,From the Dark Times to the Black Metal Legions,Battletales and Songs of Steel,,Ride of the Valkyries,Brave Blood Hero,Prelude to the Victory on the Battlefield,In the Deep Forests of Transylvania,Memories of the Fire and Ice,48,No,0,
56,Grimner,Folk/Viking Metal,2008,"motala, SE",Sweden,4,9,Urfader,2022,Vanadrottning,Frost mot eld,Urfader,Eldhjärta,En fallen jätte,Freja Vakar,Västerled,Hinn heiðinn siðr,24186,No,0,
57,HammerFall,Heavy/Power Metal,1993,"Gothenburg, SE",Sweden,12,9,Hammer of Dawn,2022,	Glory to the Brave,Legacy of Kings,Crimson Thunder,Glory to the Brave,Blood Bound,Hearts on Fire,last Man Standing,Any Means Necessary,1144506,Yes,2022,EU
58,Heathen Foray,Melodic Death Metal,2004,"Graz, AT",Austria,5,1,Weltenwandel,2020,Inner Force,Armored Bards,Weltenwandel,No Mercy,Ragnarök,Fight,Armored Bards,Tanz,26796,No,0,
59,Heidevolk,Folk/Viking Metal,2002,"Copenhagen, DK",Netherlands,6,0,Vuur van verzet,2018,Walhalla wacht,De strijdlust is geboren,Velua,A Wolf in My Heart,Yngwaz Zonen,Nehalennia,Saksenland,Furor Teutonicus,94063,No,0,
